pcode,name,birth,age,height,weight,pitch_type,team
69745,김도현,20000915,23,183.0,87.0,RO,KIA
54812,정준재,20030103,21,165.0,68.0,RO,SSG
65411,김주온,19961208,27,187.0,89.0,RO,SSG
69969,전사민,19990706,24,194.0,85.0,RO,NC
64115,장준원,19951121,28,183.0,77.0,RO,KT
53919,신영우,20040421,20,182.0,84.0,RO,NC
51303,김시앙,20011031,22,177.0,79.0,RO,키움
67116,오석주,19980414,26,180.0,74.0,RO,키움
66233,홍성호,19970715,26,187.0,98.0,RO,두산
74206,김재호,19850321,39,181.0,75.0,RO,두산
64504,오윤석,19920224,32,180.0,87.0,RO,KT
54905,김세훈,20050404,19,174.0,77.0,RO,NC
68260,현도훈,19930113,31,188.0,95.0,RO,롯데
76849,이명기,19871226,36,183.0,87.0,LO,한화
51058,한차현,19981130,25,180.0,80.0,RO,KT
67609,박정우,19980201,26,175.0,68.0,LO,KIA
62864,김민식,19890628,34,180.0,80.0,RO,SSG
54833,앤더슨,19940322,30,190.0,92.0,RO,SSG
66203,서예일,19930619,30,178.0,83.0,RO,두산
53296,윤준호,20001114,23,179.0,90.0,RO,두산
69205,이교훈,20000529,24,181.0,83.0,LO,두산
50596,홍민기,20010720,22,185.0,85.0,LO,롯데
51143,강효종,20021014,21,184.0,86.0,RO,LG
69727,변우혁,20000318,24,185.0,95.0,RO,KIA
54768,조동욱,20041102,19,190.0,82.0,LO,한화
54803,최현석,20031016,20,185.0,90.0,RO,SSG
63464,윤대경,19940409,30,179.0,81.0,RO,한화
67123,전준호,19980701,25,181.0,80.0,RO,LG
65040,김태훈,19960331,28,177.0,78.0,RO,삼성
54595,이선우,20050222,19,180.0,74.0,RO,롯데
64346,임병욱,19950930,28,187.0,94.0,RO,키움
69360,조영건,19990204,25,180.0,85.0,RO,키움
51948,이용준,20020508,22,180.0,95.0,RO,NC
54567,강성우,20050412,19,182.0,77.0,RO,롯데
52530,이민석,20031210,20,189.0,95.0,RO,롯데
53312,김건희,20041107,19,186.0,96.0,RO,키움
54608,김민재,20030708,20,188.0,85.0,RO,KIA
68159,성동현,19990518,25,189.0,108.0,RO,LG
64101,한석현,19940517,30,181.0,73.0,LO,NC
53992,박한결,20040426,20,181.0,90.0,RO,NC
50812,박시후,20010510,23,182.0,88.0,LO,SSG
52504,김동혁,20000915,23,177.0,77.0,LO,롯데
52704,이상혁,20010914,22,174.0,65.0,RO,한화
54903,최우석,20050331,19,190.0,90.0,RO,NC
51516,김진욱,20020705,21,185.0,90.0,LO,롯데
67341,이정후,19980820,25,185.0,86.0,RO,키움
50350,러셀,19940123,30,183.0,90.0,RO,키움
63920,김준완,19910120,33,174.0,73.0,RO,키움
67363,이병규,19941005,29,175.0,73.0,RO,키움
68341,안우진,19990830,24,192.0,90.0,RO,키움
76118,원종현,19870731,36,182.0,88.0,RU,키움
63704,노수광,19900806,33,180.0,77.0,RO,한화
53712,오그레디,19920517,32,188.0,97.0,RO,한화
52705,유상빈,20000509,24,181.0,81.0,LO,한화
50709,박정현,20010727,22,183.0,80.0,RO,한화
53734,스미스,19900412,34,193.0,102.0,RO,한화
74857,정우람,19850601,38,181.0,83.0,LO,한화
69213,윤산흠,19990515,25,178.0,74.0,RO,한화
50705,강재민,19970403,27,180.0,89.0,RO,한화
53664,앤더슨,19941029,29,193.0,102.0,RO,KIA
69620,김기훈,20000103,24,184.0,93.0,LO,KIA
52009,알포드,19940720,29,185.0,95.0,RO,KT
50066,강현우,20010413,23,180.0,90.0,RO,KT
53036,류현인,20001108,23,174.0,80.0,RO,KT
60566,이상호,19890205,35,180.0,82.0,RO,KT
53057,손민석,20040621,19,177.0,70.0,RO,KT
61186,이천웅,19881020,35,182.0,90.0,LO,LG
51111,송승기,20020410,22,181.0,90.0,LO,LG
51203,안재석,20020215,22,185.0,75.0,RO,두산
53211,로하스,19930224,31,183.0,90.0,RO,두산
64086,신성현,19901019,33,183.0,92.0,RO,두산
66201,고봉재,19930514,31,184.0,84.0,RU,두산
50202,안권수,19930419,31,175.0,80.0,RO,롯데
52547,렉스,19931112,30,188.0,86.0,RO,롯데
50558,스트레일리,19881201,35,189.0,100.0,RO,롯데
53594,이태연,20040221,20,180.0,80.0,LO,롯데
53562,이진하,20040602,19,191.0,96.0,RO,롯데
65643,문경찬,19920708,31,186.0,85.0,RO,롯데
51463,피렐라,19891121,34,183.0,99.0,RO,삼성
50404,뷰캐넌,19890511,35,190.0,90.0,RO,삼성
50449,허윤동,20010619,22,181.0,90.0,LO,삼성
66451,최충연,19970305,27,190.0,85.0,RO,삼성
53955,마틴,19950905,28,175.0,83.0,RO,NC
74465,박석민,19850622,38,178.0,88.0,RO,NC
